code4Digits,code6Digits,code8Digits,descriptionBa,descriptionEn,descriptionDe,descriptionHr,descriptionSr,chapter,heading,dutyRate,vatRate,excise,materialComposition,processingMethod,endUse,isActive
0101,0101.21,0101.21.00,– – čistokrvne priplodne životinje,– – purebred breeding animals,– – reinrassige Zuchttiere,– – čistokrvne priplodne životinje,– – čistokrvne priplodne životinje,1,0101,0,17%,,,,,true
0101,0101.29,0101.29.10,– – – za klanje,– – – for slaughter,– – – zur Schlachtung,– – – za klanje,– – – za klanje,1,0101,0,17%,,,,,true
0101,0101.29,0101.29.90,– – – ostali,– – – others,– – – andere,– – – ostali,– – – ostali,1,0101,0,17%,,,,,true
0101,0101.30,0101.30.00,– magarci,– donkeys,– Esel,– magarci,– magarci,1,0101,0,17%,,,,,true
0101,0101.90,0101.90.00,– ostali,– others,– andere,– ostali,– ostali,1,0101,0,17%,,,,,true
0102,0102.21,0102.21.10,"– – – junice (ženska goveda, koja još nisu telila)",– – – heifers (female cattle that have not yet calved),"– – – Färsen (weibliche Rinder, die noch nicht gekalbt haben)","– – – junice (ženska goveda, koja još nisu telila)","– – – junice (ženska goveda, koja još nisu telila)",1,0102,5,17%,,,,,true
0102,0102.21,0102.21.30,– – – krave,– – – cows,– – – Kühe,– – – krave,– – – krave,1,0102,10,17%,,,,,true
0102,0102.21,0102.21.90,– – – ostale,– – – other,- - - andere,– – – ostale,– – – ostale,1,0102,10,17%,,,,,true
0102,0102.29,0102.29.05,– – – od podroda Bibos ili od podroda Poephagus,– – – of the subgenus Bibos or of the subgenus Poephagus,– – – der Untergattung Bibos oder der Untergattung Poephagus,– – – od podroda Bibos ili od podroda Poephagus,– – – od podroda Bibos ili od podroda Poephagus,1,0102,"10+0,5KM/kg",17%,,,,,true
0102,0102.29,0102.29.10,– – – – mase ne veće od 80 kg,– – – – weighing no more than 80 kg,– – – – mit einem Gewicht von höchstens 80 kg,– – – – mase ne veće od 80 kg,– – – – mase ne veće od 80 kg,1,0102,5,17%,,,,,true
0102,0102.29,0102.29.21,– – – – – za klanje (2),– – – – – for slaughter (2),– – – – – zur Schlachtung (2),– – – – – za klanje (2),– – – – – za klanje (2),1,0102,"5+0,5KM/kg",17%,,,,,true
0102,0102.29,0102.29.29,– – – – – ostale,– – – – – other,- - - - - andere,– – – – – ostale,– – – – – ostale,1,0102,"10+0,5KM/kg",17%,,,,,true
0102,0102.29,0102.29.41,– – – – – za klanje (2),– – – – – for slaughter (2),– – – – – zur Schlachtung (2),– – – – – za klanje (2),– – – – – za klanje (2),1,0102,"5+0,5KM/kg",17%,,,,,true
0102,0102.29,0102.29.49,– – – – – ostale,– – – – – other,- - - - - andere,– – – – – ostale,– – – – – ostale,1,0102,"10+0,5KM/kg",17%,,,,,true
0102,0102.29,0102.29.51,– – – – – – za klanje (2),– – – – – – for slaughter (2),– – – – – – zur Schlachtung (2),– – – – – – za klanje (2),– – – – – – za klanje (2),1,0102,"5+0,5KM/kg",17%,,,,,true
0102,0102.29,0102.29.61,– – – – – – za klanje (4),– – – – – – for slaughter (4),– – – – – – zur Schlachtung (4),– – – – – – za klanje (4),– – – – – – za klanje (4),1,0102,"10+0,5KM/kg",17%,,,,,true
0102,0102.29,0102.29.69,– – – – – – ostale,– – – – – – others,– – – – – – andere,– – – – – – ostale,– – – – – – ostale,1,0102,"10+0,5KM/kg",17%,,,,,true
0102,0102.29,0102.29.91,– – – – – – za klanje (4),– – – – – – for slaughter (4),– – – – – – zur Schlachtung (4),– – – – – – za klanje (4),– – – – – – za klanje (4),1,0102,"10+0,5KM/kg",17%,,,,,true
0102,0102.29,0102.29.99,– – – – – – ostale (2),– – – – – – others (2),– – – – – – andere (2),– – – – – – ostale (2),– – – – – – ostale (2),1,0102,"10+0,5KM/kg",17%,,,,,true
0102,0102.31,0102.31.00,– – čistokrvne priplodne životinje,– – purebred breeding animals,– – reinrassige Zuchttiere,– – čistokrvne priplodne životinje,– – čistokrvne priplodne životinje,1,0102,10,17%,,,,,true
0102,0102.39,0102.39.10,– – – domaće vrste,– – – domestic species,– – – Haustiere,– – – domaće vrste,– – – domaće vrste,1,0102,"10+0,5KM/kg",17%,,,,,true
0102,0102.39,0102.39.90,– – – ostali,– – – others,– – – andere,– – – ostali,– – – ostali,1,0102,"10+0,5KM/kg",17%,,,,,true
0102,0102.90,0102.90.20,– – čistokrvne priplodne životinje,– – purebred breeding animals,– – reinrassige Zuchttiere,– – čistokrvne priplodne životinje,– – čistokrvne priplodne životinje,1,0102,10,17%,,,,,true
0102,0102.90,0102.90.91,– – – domaće vrste,– – – domestic species,– – – Haustiere,– – – domaće vrste,– – – domaće vrste,1,0102,"10+0,5KM/kg",17%,,,,,true
0102,0102.90,0102.90.99,– – – ostale,– – – other,- - - andere,– – – ostale,– – – ostale,1,0102,"10+0,5KM/kg",17%,,,,,true
0103,0103.10,0103.10.00,– čistokrvne priplodne životinje,– purebred breeding animals,– reinrassige Zuchttiere,– čistokrvne priplodne životinje,– čistokrvne priplodne životinje,1,0103,0,17%,,,,,true
0103,0103.91,0103.91.10,– – – domaće vrste (1)(3),– – – domestic species (1)(3),– – – Haustiere (1)(3),– – – domaće vrste (1)(3),– – – domaće vrste (1)(3),1,0103,"10+0,5KM/kg",17%,,,,,true
0103,0103.91,0103.91.90,– – – ostale,– – – other,- - - andere,– – – ostale,– – – ostale,1,0103,"10+0,5KM/kg",17%,,,,,true
0103,0103.92,0103.92.11,"– – – – svinje, koje su se barem jednom prasile, mase","– – – – pigs, which have farrowed at least once, masses","– – – – Schweine, die mindestens einmal geferkelt haben, Massen","– – – – svinje, koje su se barem jednom prasile, mase","– – – – svinje, koje su se barem jednom prasile, mase",1,0103,"10+0,5KM/kg",17%,,,,,true
0103,0103.92,0103.92.19,– – – – ostale (4),– – – – other (4),– – – – andere (4),– – – – ostale (4),– – – – ostale (4),1,0103,"10+0,5KM/kg",17%,,,,,true
0103,0103.92,0103.92.90,– – – ostale (4),– – – other (4),– – – andere (4),– – – ostale (4),– – – ostale (4),1,0103,"10+0,5KM/kg",17%,,,,,true
0104,0104.10,0104.10.10,– – čistokrvne životinje za priplod,– – purebred animals for breeding,– – reinrassige Tiere zur Zucht,– – čistokrvne životinje za priplod,– – čistokrvne životinje za priplod,1,0104,kd,17%,,,,,true
0104,0104.10,0104.10.30,– – – janjad (do jedne godine),– – – lambs (up to one year),– – – Lämmer (bis zu einem Jahr),– – – janjad (do jedne godine),– – – janjad (do jedne godine),1,0104,kd,17%,,,,,true
0104,0104.10,0104.10.80,– – – ostale,– – – other,- - - andere,– – – ostale,– – – ostale,1,0104,kd,17%,,,,,true
0104,0104.20,0104.20.10,– – čistokrvne životinje za priplod,– – purebred animals for breeding,– – reinrassige Tiere zur Zucht,– – čistokrvne životinje za priplod,– – čistokrvne životinje za priplod,1,0104,kd,17%,,,,,true
0104,0104.20,0104.20.90,– – ostale,– – others,– – andere,– – ostale,– – ostale,1,0104,kd,17%,,,,,true
